Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
Excessive noise in one or more gears.,Teeth on 5th gear badly worn.,A,Transmission gear whine in top gear.,Test drive vehicle to establish any excessive noise from the transmisssion.,"Excessive noise in 5th gear, especially under a load. Other gears are not nearly as noisy. Further testing indicates the noise is coming from inside the transmission. ",1,Yes,How can you verify the customer concern?,Disassemble and inspect.,Metal shavings found in the fluid and the teeth on 5th gear badly worn. ,1,Yes,How can you locate the source of a noise inside the transmission?,Rebuild/overhaul transmission.,Well done. You have identified the fault and corrected it. ,1,Yes,"Since you have disassembled the transmission, what do you need to  do correct the problem?"
,,,,Test drive vehicle to see if the clutch slips under heavy load.,Clutch does not slip.,2,No,,Check clutch pedal adjustment.,Clutch pedal has specified pedal height and free play.,2,No,,Replace clutch assembly.,This action did not resolve the issue.,2,No,
,,,,Test drive vehicle to see if the clutch slips in higher gears.,Clutch does not slip.,2,No,,Inspect diferential fluid level.,Fluid level okay.,2,No,,Adjust clutch pedal free play and pedal height.,This action did not resolve the issue.,2,No,
,,,,Inspect transmission fluid level.,Fluid level OK. ,2,No,,Visual inspection of front axle shafts.,CV joint boots intact and bearing surfaces look OK. ,2,No,,Replace CV Joint/half shaft. ,This action did not resolve the issue.,2,No,
,,,,Test drive vehicle in a circular fashion at low speed. ,No excessive noise when driven.,2,No,,Inspect universal joints on driveshaft. ,Universal joints do not appear to be worn or have excessive play.,2,No,,Replace universal joint(s).,This action did not resolve the issue.,2,No,
,,,,Test drive vehicle to establish any excessive noise from the driveline.,No excessive noise from driveline when driven.,2,No,,Inspect clutch fluid level.,"Clutch fluid between ""min"" and ""max"".",2,No,,Rebuild/replace synchronizer rings .,This action did not resolve the issue.,2,No,
,,,,Inspect clutch fluid level.,"Clutch fluid between ""min"" and ""max"".",2,No,,Inspect gear shift linkage.,Gear shift linkage is in good condition. ,2,No,,Rebuild/replace input shaft bearings.,This action did not resolve the issue.,2,No,
,,,,Test drive the vehicle to establish noises on the clutch side of the transmission.,No excessive noise coming from the clutch area.,2,No,,Remove transmission and inspect clutch assembly. ,Clutch assembly is in good condition. ,2,No,,Flush transmission fluid and refill with proper fluid. ,This action did not resolve the issue.,2,No,
,,,,,,,,,,,,,,Replace pilot bearing.,This action did not resolve the issue.,2,No,
,,,,,,,,,,,,,,Replace clutch fork.,This action did not resolve the issue.,2,No,
