Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
Poor fuel economy.,Faulty Oxygen sensor.,A,MIL light on.,Scan PCM with scan tool.,P0131 02 Sensor Circuit Low Voltage (Bank I Sensor I) and  P0133 02 Sensor Circuit Slow Response (Bank 1 Sensor 1) and P0133 02 Sensor Circuit Slow Response (Bank 1 Sensor 1). Further testing shows vehicle fails emissions test due to a rich condition. ,1,Yes,The MIL light indicates the PCM has identified a problem in the systems it monitors. ,Test Oxygen sensor waveform on labscope.,Oxygen sensor will not read above 450mv when mixture is artificially enriched.,1,Yes,Which component measures the rich/lean condition of the mixture? It appears to be inaccurate.,Replace Oxygen sensor.,Well done! You have identified the fault and corrected it.,1,Yes,"If the Oxygen sensor reads inaccurately, what needs to happen to correct it?"
,,,,Perform cooling system flow test.,Cooling system flow meets specifications.,2,No,,Disassemble and inspect.,Component appears to be in good working order.,2,No,,Clean/tighten ground connection(s).,This did not correct the fault. Try again.,2,No,
,,,,Perform cooling system pressure test.,Meets specifications.,2,No,,"Perform ""smoke"" test.",No vacuum leaks detected.,2,No,,Repair EVAP system.,This did not correct the fault. Try again.,2,No,
,,,,Perform engine operating temperature test with infrared temp gun.,Meets specifications.,2,No,,Perform belt tension test.,Meets specifications.,2,No,,Repair fuel injector wiring.,This did not correct the fault. Try again.,2,No,
,,,,Perform exhaust back-pressure test.,Back-pressure is within specifications.,2,No,,Perform cooling fan operating test.,Operates normally.,2,No,,Replace air filter/restricted intake system.,This did not correct the fault. Try again.,2,No,
,,,,Perform fuel pressure and volume test.,Fuel pressure and volume perform as specified.,2,No,,Perform engine operating temperature test with infrared temp gun.,Engine reaches and maintains proper operating temperature in specified time.,2,No,,Replace an/or re-tension drive belt(s).,This did not correct the fault. Try again.,2,No,
,,,,Perform intake manifold vacuum/pressure test.,Manifold vacuum/pressure meets specifications.,2,No,,Perform fan clutch test.,Fan clutch operates according to specifications.,2,No,,Replace cam sensor.,This did not correct the fault. Try again.,2,No,
,,,,Perform NOID light test.,NOID lights indicates normal operation.,2,No,,Perform fuel pressure and volume test.,Fuel pressure and volume meet specifications when tested. ,2,No,,Replace catalytic converter/exhaust system.,This did not correct the fault. Try again.,2,No,
,,,,Perform power balance test.,All cylinders have equal RPM drop.,2,No,,Perform fuel quality test.,Fuel meets specifications.,2,No,,Replace crankshaft position sensor.,This did not correct the fault. Try again.,2,No,
,,,,Start engine and observe temperature gauge.,Temp gauge climbs to normal parameters.  ,2,No,,Perform ignition timing test.,Meets specifications.,2,No,,Replace EGR valve/repair EGR system.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,Perform Knock sensor test.,Knock sensor responds according to specifications.,2,No,,Replace engine coolant temperature sensor.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,"Perform resistance test of ignition coil ""C"".",Meets specifications.,2,No,,Replace fuel filter.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,Test waveform pattern of fuel injector on labscope.,Meets specifications.,2,No,,Replace fuel injector.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,Perform visual inspection.,Component appears to be in good working order.,2,No,,Replace fuel pump fuse.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel pump fusible link.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel pump relay.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel pump.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace fuel.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace ignition coil.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace ignition module.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace ignition primary wiring.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace ignition switch.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace ignition system fusible link.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace intake air temperature sensor.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace intake manifold gasket/repair leak. ,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace knock sensor.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace manifold pressure sensor.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace spark plug cable.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace spark plug.,This did not correct the fault. Try again.,2,No,
,,,,,,,,,,,,,,Replace throttle position sensor.,This did not correct the fault. Try again.,2,No,
