Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
Lack of cooling 5.,A/C pressure switch open circuit.,A,Error message on climate display.,Performance test the A/C system.,Insufficient cold air from passenger compartment vents.,1,Yes,Is there any cold air coming out of the vents?,Check that A/C compressor clutch engages and cycles during operation.,Wiring to A/C pressure switch/sensor has an open circuit.,1,Yes,What controls the cycling of the system?,Replace A/C pressure switch/sensor.,"Well done, replacing the pressure switch/ sensor rectified this fault.",1,Yes,What controls the system operation once it is turned on and set?
,,,,Check cabin mechanical devices.,Mechanical devices operating normally.,2,No,,Perform visual inspection of A/C system.,Components in good condition.,2,No,,Recharge system as required. Check for refrigerant leaks and repair as necessary.,This action did not rectify the condition.,2,No,
,,,,Check condition of any airflow filter devices.,Sufficient air from passenger compartment vents.,2,No,,Check cabin mechanical flow control devices for operation.,Devices operating normally.,2,No,,"Replace belt and inspect pulleys, tensioners, and driven components. Repair/replace as necessary.",This action did not rectify the condition.,2,No,
,,,,Check the A/C compressor drive devices.,Compressor drive devices appear to be in good condition.,2,No,,Check for adequate air flow from vents.,Sufficient air flowing  from passenger compartment vents.,2,No,,Replace damaged/blocked component(s); evacuate system and recharge with the proper amount of refrigerant.,This action did not rectify the condition.,2,No,
,,,,Check the main A/C operating components.,No excessive noise coming from system while A/C is operating.,2,No,,Monitor A/C system pressure readings.,Compressor clutch components are in good condition.,2,No,,Replace faulty motor/cable/linkage.,This action did not rectify the condition.,2,No,
,,,,Check the A/C pipe system components for mechanical security. ,No metallic or vibrational noise from engine compartment or bulkhead area.,2,No,,Perform visual inspection and listen to compressor with stethoscope.,No abnormal noises coming from compressor.,2,No,,Replace cabin air filter.,This action did not rectify the condition.,2,No,
,,,,,,,,,Perform audible inspection of expansion valve.,Expansion valve operating normally.,2,No,,Replace clutch coil or reset air gap.,This action did not rectify the condition.,2,No,
,,,,,,,,,Perform audible inspection of A/C pipes and hoses.,No abnormal noises. ,2,No,,"Flush A/C system, replace compressor, receiver/drier, and refrigerant.",This action did not rectify the condition.,2,No,
,,,,,,,,,,,,,,Replace expansion (TX) valve.,This action did not rectify the condition.,2,No,
,,,,,,,,,,,,,,Replace or re route pipes and retainers.,This action did not rectify the condition.,2,No,
