Problem,Fault,Frating,Symptoms,Verification Tests,Verification Result,Vrating,Vpass,Verification Hint,Identification Tests,Identification Result,Irating,Ipass,Identification Hint,Rectification Actions,Rectification Result,Rrating,Rpass,Rectification Hint
Delayed engagement when first shifted in drive. Erratic shifts when fluid is cold. ,Low fluid level caused by leaky pan gasket. ,A,Erratic shifting when vehicle is driven.,Test drive vehicle for vehicle performance and drivability.,"Erratic shifts when fluid is cold, delayed engagement when shifter to drive or reverse, and slight slippage on upshift when fluid is cold. ",1,Yes,How can you verify the customer concern?,Check fluid level and condition. ,Fluid level is considerably below the add mark. Condition of fluid appears OK. Further inspection reveals a leaking pan gasket. ,1,Yes,Can low fluid level cause these symptoms?,Replace pan gasket and refill with proper fluid. ,Well done. You have identified the fault and corrected it. ,1,Yes,Why is the fluid level low?
,,,,Test drive fully warmed up vehicle for operation under initial movement from a standstill and hill starts.,Vehicle  accelerates normally under all driving conditions.,2,No,,"Perform converter ""stall"" test.","Results of converter ""stall"" test are within specifications.",2,No,,Replace torque converter assembly.,This action did not rectify the issue.,2,No,
,,,,Test drive vehicle to determine any unusual transmission noises. ,No unusual noises heard. ,2,No,,Check gear selector linkage for proper adjustment. ,Gear selector linkage appears to be adjusted properly. ,2,No,,Replace governor valve assembly.,This action did not rectify the issue.,2,No,
,,,,Check gear selector linkage for proper adjustment. ,Gear selector linkage appears to be adjusted properly. ,2,No,,Perform transmission pressure tests. ,Line pressure and governor pressures within specifications. Low/reverse clutch pressures within specifications. ,2,No,,Rebuild/overhaul valve body assembly.,This action did not rectify the issue.,2,No,
,,,,"Perform converter ""stall"" test.","Results of converter ""stall"" test are within specifications.",2,No,,Apply air pressure to operate bands and clutches.,Bands and clutches apply normally with no excessive leakage.,2,No,,Replace bands and clutches.,This action did not rectify the issue.,2,No,
,,,,,,,,,Inspect condition of transmission mounts.,Transmission mounts appear OK.,2,No,,Rebuild/overhaul transmission.,This action did not rectify the issue.,2,No,
,,,,,,,,,,,,,,Install high performance transmission cooler.,This action did not rectify the issue.,2,No,
,,,,,,,,,,,,,,Replace valve body.,This action did not rectify the issue.,2,No,
,,,,,,,,,,,,,,Replace front pump assembly.,This action did not rectify the issue.,2,No,
,,,,,,,,,,,,,,Replace flex plate bolts. ,This action did not rectify the issue.,2,No,
,,,,,,,,,,,,,,Replace stripped input shaft.,This action did not rectify the issue.,2,No,
